,userId,startDt,endDt,device,sleep_score,total_sleep_time,Class
227,6,2018-11-09 3:14,2018-11-09 13:18,Fitbit,86.9617225,21810,C
238,27,2018-11-15 23:59,2018-11-16 8:22,Fitbit,90.4466501,21870,A
189,29,2018-11-27 2:31,2018-11-27 9:40,Fitbit,97.0744681,21900,A
56,18,2018-11-23 1:30,2018-11-23 8:02,Fitbit,90.6832298,21900,A
284,8,2018-11-07 23:09,2018-11-08 7:27,Fitbit,84.4110855,21930,B
138,1,2018-11-20 1:38,2018-11-20 7:30,Fitbit,88.7816647,22080,C
24,4,2018-11-07 0:46,2018-11-07 6:59,Fitbit,80.7903403,22080,B
55,18,2018-11-22 1:42,2018-11-22 7:51,Fitbit,93.164557,22080,A
225,6,2018-11-06 23:36,2018-11-07 7:01,Fitbit,86.0302678,22170,B
151,30,2018-11-28 1:24,2018-11-28 7:47,Fitbit,89.3591294,22170,C
272,28,2018-11-23 3:24,2018-11-23 17:13,Fitbit,87.0175439,22320,C
121,23,2018-11-17 2:21,2018-11-17 9:50,Fitbit,91.0866911,22380,A
37,25,2018-11-24 0:42,2018-11-24 7:55,Fitbit,93.0174564,22380,A
10,24,2018-11-20 19:25,2018-11-21 9:04,Fitbit,94.1919192,22380,A
18,4,2018-11-01 0:44,2018-11-01 6:15,Fitbit,86.2745098,22440,B
45,3,2018-11-08 1:28,2018-11-08 9:00,Fitbit,85.8783008,22440,B
87,10,2018-11-03 2:53,2018-11-03 8:58,Fitbit,86.7052023,22500,C
83,20,2018-11-20 2:37,2018-11-20 9:01,Fitbit,86.306099,22500,C
224,6,2018-11-05 23:38,2018-11-06 7:47,Fitbit,83.6120401,22500,B
171,7,2018-11-06 23:59,2018-11-07 6:28,Fitbit,87.7336449,22530,C
78,20,2018-11-28 3:19,2018-11-28 8:52,Fitbit,87.0220162,22530,C
36,25,2018-11-23 2:19,2018-11-23 7:42,Fitbit,98.1770833,22620,A
100,21,2018-11-18 1:45,2018-11-18 6:58,Fitbit,84.787472,22740,B
327,26,2018-11-27 4:32,2018-11-27 9:46,Fitbit,86.8421053,22770,C
203,5,2018-11-12 23:23,2018-11-13 7:05,Fitbit,78.5935884,22800,B
135,1,2018-11-17 3:36,2018-11-17 16:09,Fitbit,90.8004779,22800,A
139,1,2018-11-21 1:38,2018-11-21 8:35,Fitbit,91.8072289,22860,A
147,12,2018-11-01 23:55,2018-11-02 7:13,Fitbit,87.1004566,22890,C
247,14,2018-11-01 0:23,2018-11-01 7:42,Fitbit,96.7088608,22920,A
170,7,2018-11-06 0:48,2018-11-06 6:47,Fitbit,87.6146789,22920,C
114,11,2018-11-10 1:32,2018-11-10 10:25,Fitbit,86.0830527,23010,B
294,19,2018-11-20 1:29,2018-11-20 8:12,Fitbit,91.7464115,23010,A
246,14,2018-11-12 20:47,2018-11-13 7:20,Fitbit,88.0733945,23040,C
146,12,2018-11-01 0:16,2018-11-01 7:16,Fitbit,85.5567806,23280,B
61,15,2018-11-13 4:16,2018-11-13 8:00,Fitbit,91.943128,23280,A
153,30,2018-11-17 1:44,2018-11-17 6:30,Fitbit,90.8665105,23280,A
133,1,2018-11-28 2:09,2018-11-28 10:49,Fitbit,89.1304348,23370,C
60,15,2018-11-12 2:34,2018-11-12 13:16,Fitbit,91.4519906,23430,A
312,9,2018-11-11 23:41,2018-11-12 6:40,Fitbit,87.5699888,23460,C
276,28,2018-11-26 19:44,2018-11-27 8:59,Fitbit,91.0569106,23520,A
233,27,2018-11-23 0:59,2018-11-23 9:04,Fitbit,92.2352941,23520,A
319,26,2018-11-19 4:15,2018-11-19 11:24,Fitbit,88.0044843,23550,C
131,13,2018-11-04 1:33,2018-11-04 8:24,Fitbit,87.5278396,23580,C
165,7,2018-11-01 0:00,2018-11-01 6:47,Fitbit,87.2505543,23610,C
228,6,2018-11-10 0:26,2018-11-10 7:13,Fitbit,84.8223897,23640,B
298,19,2018-11-25 6:06,2018-11-25 21:54,Fitbit,86.3238512,23670,B
159,30,2018-11-23 5:23,2018-11-23 11:47,Fitbit,86.5279299,23700,C
307,9,2018-11-06 23:42,2018-11-07 6:59,Fitbit,88.0846325,23730,C
226,6,2018-11-08 0:34,2018-11-08 7:28,Fitbit,89.3785311,23730,C
188,29,2018-11-25 8:46,2018-11-25 8:46,Fitbit,88.1111111,23790,C
106,21,2018-11-27 1:51,2018-11-27 6:33,Fitbit,84.6481876,23820,B
20,4,2018-11-03 0:06,2018-11-03 6:42,Fitbit,88.0662983,23910,C
240,27,2018-11-18 3:03,2018-11-18 9:38,Fitbit,86.9138495,23910,C
88,10,2018-11-04 23:39,2018-11-04 23:42,Fitbit,89.6629213,23940,C
95,10,2018-11-11 4:45,2018-11-11 9:37,Fitbit,80.3625378,23940,B
292,19,2018-11-17 1:46,2018-11-17 8:26,Fitbit,87.2270742,23970,C
223,6,2018-11-04 23:34,2018-11-05 6:22,Fitbit,85.3632479,23970,B
178,29,2018-11-28 2:27,2018-11-28 7:49,Fitbit,85.4255319,24090,B
237,27,2018-11-15 8:20,2018-11-15 9:31,Fitbit,77.6605944,24300,B
129,13,2018-11-01 0:31,2018-11-01 7:52,Fitbit,87.4730022,24300,C
44,3,2018-11-07 1:33,2018-11-07 7:51,Fitbit,87.311828,24360,C
281,8,2018-11-05 0:23,2018-11-05 7:26,Fitbit,89.0470975,24390,C
269,28,2018-11-20 1:24,2018-11-20 8:03,Fitbit,87.987013,24390,C
175,7,2018-11-10 23:11,2018-11-11 8:57,Fitbit,88.5032538,24480,C
149,12,2018-11-05 0:03,2018-11-05 7:20,Fitbit,89.571899,24480,C
157,30,2018-11-21 2:24,2018-11-21 9:14,Fitbit,88.3243243,24510,C
206,22,2018-11-16 0:44,2018-11-16 5:59,Fitbit,91.4253898,24630,A
79,20,2018-11-16 1:14,2018-11-16 8:29,Fitbit,86.5263158,24660,B
310,9,2018-11-10 0:58,2018-11-10 8:38,Fitbit,89.6626768,24720,C
287,8,2018-11-11 1:29,2018-11-11 8:41,Fitbit,89.5652174,24720,C
248,14,2018-11-02 1:06,2018-11-02 7:56,Fitbit,86.7647059,24780,C
317,26,2018-11-17 3:14,2018-11-17 13:58,Fitbit,89.4282632,24870,C
267,28,2018-11-18 1:17,2018-11-18 8:03,Fitbit,91.5011038,24870,A
309,9,2018-11-08 23:05,2018-11-09 6:27,Fitbit,90.5125409,24900,A
164,7,2018-10-31 23:36,2018-10-31 23:53,Fitbit,88.8650964,24900,C
108,11,2018-11-01 3:07,2018-11-01 13:14,Fitbit,83.3667335,24960,B
211,22,2018-11-21 0:26,2018-11-21 7:27,Fitbit,91.7309813,24960,A
67,15,2018-11-06 0:48,2018-11-06 7:34,Fitbit,93.4977578,25020,A
297,19,2018-11-24 1:28,2018-11-24 11:56,Fitbit,82.1568627,25140,B
115,11,2018-11-11 6:45,2018-11-11 13:42,Fitbit,84.6619576,25170,B
150,12,2018-11-05 21:28,2018-11-06 6:56,Fitbit,77.8293135,25170,B
232,27,2018-11-22 1:02,2018-11-22 8:28,Fitbit,87.6170656,25260,C
318,26,2018-11-18 6:51,2018-11-18 14:08,Fitbit,86.9072165,25290,C
39,3,2018-10-31 12:08,2018-10-31 13:13,Fitbit,87.7211238,25290,C
321,26,2018-11-21 3:23,2018-11-21 8:41,Fitbit,91.5766739,25440,A
245,14,2018-11-12 0:14,2018-11-12 7:31,Fitbit,87.295082,25560,C
208,22,2018-11-17 23:14,2018-11-18 7:53,Fitbit,89.8840885,25590,C
118,23,2018-11-28 2:14,2018-11-28 8:02,Fitbit,85.9,25770,B
90,10,2018-11-06 0:21,2018-11-06 7:17,Fitbit,88.556701,25770,C
19,4,2018-11-02 23:57,2018-11-02 23:58,Fitbit,87.755102,25800,C
289,8,2018-11-13 0:43,2018-11-13 8:05,Fitbit,92.3240938,25980,A
62,15,2018-11-01 0:28,2018-11-01 7:08,Fitbit,87.6257545,26130,C
273,28,2018-11-24 2:14,2018-11-24 8:04,Fitbit,91.2133891,26160,A
34,25,2018-11-21 2:34,2018-11-21 9:34,Fitbit,84.6899225,26220,B
279,8,2018-11-03 1:04,2018-11-03 8:26,Fitbit,92.9025424,26310,A
8,24,2018-11-19 6:26,2018-11-19 8:11,Fitbit,93.6965812,26310,A
94,10,2018-11-10 0:12,2018-11-10 15:23,Fitbit,89.5812053,26310,C
84,10,2018-10-31 23:50,2018-10-31 23:55,Fitbit,90.1437372,26340,C
250,14,2018-11-04 4:53,2018-11-04 12:45,Fitbit,91.2681913,26340,A
47,3,2018-11-10 1:38,2018-11-10 11:52,Fitbit,86.7719645,26370,B
302,9,2018-11-01 22:49,2018-11-02 6:49,Fitbit,89.8063201,26430,C
92,10,2018-11-07 23:22,2018-11-08 7:23,Fitbit,85.6727977,26550,B
76,20,2018-11-26 0:09,2018-11-26 8:10,Fitbit,87.972167,26550,C
207,22,2018-11-16 23:25,2018-11-17 6:25,Fitbit,88.1070367,26670,C
52,18,2018-11-18 1:20,2018-11-18 8:20,Fitbit,96.3282937,26760,A
316,26,2018-11-16 7:09,2018-11-16 12:27,Fitbit,88.3283877,26790,C
126,23,2018-11-22 0:46,2018-11-22 7:49,Fitbit,85.6184084,26790,B
68,15,2018-11-07 0:57,2018-11-07 7:04,Fitbit,90.7801418,26880,A
285,8,2018-11-08 22:18,2018-11-09 6:00,Fitbit,90.2414487,26910,C
275,28,2018-11-26 1:37,2018-11-26 7:29,Fitbit,85.9582543,27180,B
134,1,2018-11-16 0:53,2018-11-16 7:37,Fitbit,91.4400806,27240,A
166,7,2018-11-02 0:14,2018-11-02 7:06,Fitbit,90.7092907,27240,A
222,6,2018-11-04 0:03,2018-11-04 13:11,Fitbit,88.2978723,27390,C
35,25,2018-11-22 2:37,2018-11-22 7:54,Fitbit,91.5831663,27420,A
28,25,2018-11-25 22:40,2018-11-26 7:40,Fitbit,94.6169772,27420,A
80,20,2018-11-17 2:43,2018-11-17 12:35,Fitbit,87.9692012,27420,C
117,23,2018-11-27 4:37,2018-11-27 9:57,Fitbit,83.424408,27480,B
116,11,2018-11-12 6:07,2018-11-12 13:59,Fitbit,89.5914397,27630,C
305,9,2018-11-04 23:03,2018-11-05 6:57,Fitbit,86.8173258,27660,B
229,6,2018-11-11 0:45,2018-11-11 8:12,Fitbit,88.996139,27660,C
220,6,2018-11-01 23:42,2018-11-02 6:28,Fitbit,87.1482176,27870,C
113,11,2018-11-07 7:22,2018-11-07 12:51,Fitbit,88.3239171,28140,C
182,29,2018-11-19 3:37,2018-11-19 6:53,Fitbit,85.4809437,28260,B
308,9,2018-11-07 22:43,2018-11-08 6:52,Fitbit,91.4587332,28590,A
300,19,2018-11-27 2:34,2018-11-27 7:43,Fitbit,85.6378234,28800,B
154,30,2018-11-18 1:11,2018-11-18 7:48,Fitbit,86.5470852,28950,B
74,20,2018-11-21 21:18,2018-11-22 7:38,Fitbit,79.3469388,29160,B
25,4,2018-11-09 2:03,2018-11-09 6:57,Fitbit,87.0535714,29250,C
288,8,2018-11-11 23:33,2018-11-12 8:06,Fitbit,92.1568627,29610,A
104,21,2018-11-23 2:40,2018-11-23 7:27,Fitbit,88.1461676,29670,C
161,30,2018-11-25 1:29,2018-11-25 15:57,Fitbit,86.9947276,29700,C
119,23,2018-11-15 22:57,2018-11-15 23:43,Fitbit,84.4255319,29760,B
107,11,2018-11-13 0:21,2018-11-13 8:25,Fitbit,89.2985612,29790,C
258,2,2018-11-16 22:46,2018-11-16 23:51,Fitbit,83.1114809,29970,B
210,22,2018-11-20 0:39,2018-11-20 23:37,Fitbit,91.704649,30180,A
198,5,2018-11-07 22:11,2018-11-08 7:27,Fitbit,84.9326599,30270,B
216,22,2018-11-26 23:57,2018-11-26 23:57,Fitbit,94.9295775,30330,A
179,29,2018-11-16 1:40,2018-11-16 8:52,Fitbit,87.8787879,30450,C
214,22,2018-11-24 0:02,2018-11-24 23:57,Fitbit,91.1210762,30480,A
31,25,2018-11-18 3:17,2018-11-18 12:53,Fitbit,94.7858473,30540,A
70,15,2018-11-08 21:44,2018-11-09 9:39,Fitbit,83.3878887,30570,B
4,24,2018-11-27 16:28,2018-11-28 5:56,Fitbit,91.3274336,30960,A
27,25,2018-11-25 3:38,2018-11-25 11:30,Fitbit,89.4557823,31560,C
125,23,2018-11-20 21:46,2018-11-21 7:54,Fitbit,83.9779006,31920,B
201,5,2018-11-10 23:39,2018-11-11 15:13,Fitbit,90.3198653,32190,A
122,23,2018-11-18 2:39,2018-11-18 11:54,Fitbit,87.4213836,33360,C
174,7,2018-11-10 4:45,2018-11-10 9:41,Fitbit,89.8468977,33450,C
325,26,2018-11-25 4:10,2018-11-25 13:34,Fitbit,90.0241352,33570,A
296,19,2018-11-22 18:46,2018-11-22 19:43,Fitbit,88.2079131,34110,C
46,3,2018-11-09 1:17,2018-11-09 9:01,Fitbit,87.3369148,34140,C
324,26,2018-11-24 4:00,2018-11-24 17:34,Fitbit,87.5,34440,C
311,9,2018-11-10 22:43,2018-11-11 9:10,Fitbit,90.0703675,34560,A
42,3,2018-11-04 12:02,2018-11-04 13:44,Fitbit,87.5565611,34830,C
0,17,2018-10-31 20:49,2018-10-31 23:56,Fitbit,88.0451128,35130,C
256,2,2018-11-26 2:09,2018-11-26 8:28,Fitbit,90.6202723,35940,A
163,30,2018-11-27 4:59,2018-11-27 7:58,Fitbit,85.5455177,36930,B
213,22,2018-11-23 3:08,2018-11-23 23:59,Fitbit,87.5437369,37530,C
262,16,2018-11-02 3:51,2018-11-02 9:55,Fitbit,88.8030888,41400,C
12,24,2018-11-23 1:40,2018-11-23 8:15,Fitbit,87.6884422,41880,C
186,29,2018-11-23 4:08,2018-11-23 8:58,Fitbit,87.2222222,42390,C
167,7,2018-11-02 23:42,2018-11-03 7:29,Fitbit,86.3304982,42630,C
5,24,2018-11-16 4:25,2018-11-16 6:59,Fitbit,88.767456,43860,C
2,17,2018-11-12 18:08,2018-11-12 23:43,Fitbit,89.6959459,47790,C
264,28,2018-11-12 23:28,2018-11-13 16:51,Fitbit,88.5869565,48900,C
